QKEY,F_AGECAT,F_SEX,F_HISP
101224,4,1,2
103611,4,2,2
104937,4,1,2
106068,3,1,2
111927,4,2,2
112490,3,2,2
114898,4,2,2
115295,3,1,2
115807,4,1,2
118414,4,2,2
123778,3,1,2
124032,4,2,2
124281,4,1,2
125280,3,2,2
125496,3,2,2
132264,4,2,2
133978,3,2,2
135317,4,1,2
135751,4,1,2
137139,3,1,2
138105,2,2,2
140544,4,1,2
140639,4,1,2
141878,4,2,2
142447,3,2,2
147316,2,2,1
155832,3,2,2
157570,3,2,2
160193,4,1,2
160394,4,2,2
164425,4,1,2
171076,2,1,2
175192,3,1,2
176709,4,1,2
176824,4,1,2
179513,3,1,2
179691,3,1,2
180286,4,1,2
181067,3,1,2
184778,3,1,2
185159,3,1,2
185896,2,1,1
186444,3,2,2
189213,4,1,2
189323,3,1,2
190961,3,2,2
193466,3,2,2
197397,4,1,2
197580,2,2,2
198208,3,1,2
199866,4,2,2
199964,4,2,2
201095,3,1,2
202908,4,2,2
203464,3,1,2
203469,3,2,2
203921,3,2,2
206457,2,1,2
208237,4,2,2
210306,3,1,2
213456,3,2,2
214437,4,1,2
214898,4,1,2
216153,3,1,2
218656,3,2,2
218719,2,1,2
219679,4,2,2
220020,3,1,2
222755,4,1,2
226903,4,1,2
227117,4,2,2
234001,3,2,2
238140,3,1,2
239268,3,2,2
242242,2,2,2
245863,4,2,2
248990,2,2,2
249540,4,1,2
280916,3,1,2
282372,2,2,2
285174,4,1,2
285953,3,1,2
287097,3,1,2
287191,3,2,2
287366,4,2,2
291696,4,1,2
292724,4,1,2
292854,4,1,2
294912,4,2,2
296062,4,1,2
296159,3,2,2
296984,4,1,2
297972,4,2,2
298053,2,2,2
300761,4,1,2
301613,3,2,2
307688,3,1,2
310761,4,2,2
310985,4,2,2
311643,4,2,2
314393,3,1,2
314835,3,2,2
315474,4,2,2
317442,4,1,2
318188,4,1,2
319246,2,1,2
319896,4,2,2
324920,2,1,2
325708,1,2,2
326182,4,1,2
327082,4,2,2
327538,3,1,2
329777,4,1,2
333639,2,1,2
334917,4,2,2
336840,4,2,2
340808,3,2,2
342968,2,2,2
600312,3,2,1
601648,4,1,2
602921,3,1,2
604068,2,2,2
604146,2,1,2
604312,2,2,1
606543,4,2,2
607034,4,1,1
607123,3,1,2
607173,3,1,2
607694,1,2,1
608960,2,2,2
610814,3,2,2
610816,1,2,2
613070,4,1,2
613271,4,1,2
613986,4,2,2
614974,2,2,2
616240,4,1,2
616412,2,2,2
616855,2,1,2
616924,4,1,2
616985,4,2,1
617371,3,1,2
620581,4,1,2
621834,4,2,2
622293,4,1,2
622469,2,2,2
623183,3,2,2
624621,3,1,2
624754,2,2,2
625237,1,1,2
625560,2,1,2
626422,2,2,2
626916,4,1,1
628347,1,1,2
629168,4,1,2
630170,2,2,2
630758,3,2,2
632956,2,2,2
633508,2,1,2
633723,2,1,2
638767,3,1,2
639116,3,1,2
640394,4,2,2
640648,3,1,2
643027,2,1,2
643172,2,1,2
644779,2,1,2
645900,4,1,2
645972,2,1,2
646801,4,2,2
649446,2,1,2
649614,2,1,2
650249,4,2,2
650756,3,2,2
657176,4,2,2
657776,4,2,2
658759,2,2,2
659273,4,1,2
661239,2,1,2
664380,3,1,2
664528,3,1,2
664925,2,2,2
665982,3,2,1
666052,2,1,2
667336,4,1,2
668723,2,1,2
669003,1,1,2
669330,4,2,2
670964,2,2,1
672074,4,2,2
672243,4,1,2
673327,4,2,2
674251,2,2,2
674633,3,1,2
675257,2,1,2
677479,3,1,2
677559,3,1,1
678122,3,2,2
678932,3,2,2
680766,4,1,2
684297,2,2,2
684974,2,1,2
685156,2,2,2
685770,4,1,2
685807,4,2,2
687087,2,1,2
687210,2,2,2
688489,3,1,2
688843,1,1,2
688926,2,1,2
690413,2,1,2
690567,2,2,2
692606,3,1,2
693981,3,1,2
694394,4,1,2
695229,2,1,2
695742,3,1,2
698304,2,2,2
699085,2,2,2
699182,4,2,2
699479,4,1,2
705033,3,2,2
708536,4,1,2
709593,3,1,2
710468,1,2,2
710764,3,2,2
711429,1,1,2
712376,1,2,2
712988,4,2,2
714287,4,1,2
718333,3,1,2
720429,2,1,2
720855,2,2,2
721545,2,2,2
721626,4,1,2
722222,3,1,2
722562,3,2,2
722617,2,1,2
723107,2,2,2
723240,4,2,2
723758,3,1,2
724403,1,1,1
724701,4,2,2
724895,4,1,2
201501115596,4,1,2
201501117200,4,1,2
201501123118,3,1,2
201501126064,4,1,2
201501128394,4,1,2
201501134047,1,2,2
201501135465,3,1,2
201501135971,2,2,2
201501138941,4,1,1
201501140481,1,1,1
201501140690,4,1,2
201501141976,4,1,2
201501142584,3,2,99
201501144662,3,2,2
201501145023,3,1,2
201501167736,4,1,2
201501168853,2,2,2
201501173112,3,2,2
201501179962,4,2,2
201501181026,3,1,2
201501181320,3,2,1
201501185367,4,1,2
201501185559,3,1,2
201501188271,4,1,2
201501189514,4,1,2
201501205135,4,1,2
201501205651,2,2,2
201501205658,3,2,1
201501208149,4,2,2
201501210328,4,2,2
201501210850,3,1,2
201501211764,3,2,2
201501212038,2,1,2
201501220514,3,2,2
201501222080,2,2,2
201501228073,4,1,2
201501231316,4,2,2
201501231955,4,1,2
201501233790,2,1,2
201501265686,4,2,2
201501267308,3,2,2
201501270807,3,2,2
201501272160,4,1,1
201501272567,4,1,2
201501272683,4,1,2
201501272748,4,2,2
201501275440,2,2,2
201501284156,4,1,2
201501354357,2,2,2
201501402502,3,2,2
201501410034,3,2,2
201501414200,2,1,2
201501423673,2,1,2
201501602033,2,1,2
201501602650,2,1,2
201501602753,4,1,2
201501603019,3,1,2
201501603687,4,1,2
201501603919,2,1,2
201501604216,1,2,2
201501606569,2,1,2
201501607965,3,2,1
201501608033,1,1,1
201501608802,1,1,2
201501610567,1,1,2
201501611818,1,1,2
201501613005,3,1,2
201501613872,2,2,2
201501614777,3,2,2
201501614915,2,2,2
201501615153,3,1,2
201501615344,2,1,1
201501616125,4,1,2
201501617119,2,1,2
201501617839,3,2,2
201501620080,4,2,2
201501620197,2,2,2
201501620999,4,2,2
201501621006,1,2,2
201501621360,3,1,1
201501621481,2,1,2
201501621777,2,1,2
201501622631,4,1,2
201501624257,2,1,2
201501625415,4,2,2
201501626541,2,2,2
201501633958,3,1,2
201501638691,4,1,2
201501641880,3,1,2
201501642779,2,1,2
201501646045,3,1,2
201501649017,2,1,2
201501650065,1,2,2
201501650723,4,2,2
201501650976,4,1,2
201501651216,3,2,2
201501651624,1,1,1
201501651871,4,2,2
201501652039,3,1,2
201501652210,3,2,2
201501652485,2,2,2
201501653261,2,2,2
201501653294,4,2,2
201501654592,2,1,2
201501655013,3,2,2
201501656898,2,2,99
201501657892,1,1,1
201501675405,3,2,2
201501676022,3,2,2
201501676100,1,1,2
201501676210,2,2,2
201501676768,2,2,2
201501676820,2,1,2
201501676991,2,1,2
201501678191,4,1,2
201501679883,2,2,2
201501680630,4,1,2
201501681105,1,2,2
201501681684,2,2,2
201501682318,1,2,2
201501682717,4,1,2
201501683849,1,1,2
201501684847,3,2,2
201501685261,3,2,2
201501685916,4,2,2
201501687391,1,2,2
201501687662,1,1,2
201501687876,4,1,2
201501688012,4,1,2
201501689087,3,1,1
201501689262,2,1,2
201501689699,3,2,2
201501693435,2,2,2
201501693691,2,2,2
201501695233,1,1,2
201501695603,4,1,2
201501696068,4,2,2
201501697631,1,2,2
201501697678,4,1,2
201501698775,2,2,2
201501700042,4,1,2
201501700188,4,2,2
201501701572,2,1,1
201501701962,2,1,2
201501728313,4,1,2
201501728454,2,1,1
201501731034,1,1,2
201501732350,4,2,2
201501733559,3,2,2
201501736633,3,1,2
201501737004,2,1,2
201501737513,2,2,2
201501738791,2,1,2
201501798171,4,2,2
201701201793,3,2,2
201701206738,3,2,2
201701216959,2,1,2
201701223468,3,2,2
201701226693,3,2,2
201701230190,3,2,2
201701237089,4,2,2
201701237878,3,2,2
201701241672,3,2,2
201701246589,4,1,2
201701250002,3,2,2
201701260770,4,1,2
201701263943,2,1,2
201701268745,4,1,2
201701274719,4,2,2
201701289656,4,2,2
201701292089,2,2,2
201701600231,4,1,2
201701601511,3,1,2
201701602394,3,2,2
201701605699,2,2,2
201701606330,2,2,2
201701608671,3,2,1
201701611096,1,2,2
201701611280,1,1,1
201701612937,3,1,2
201701614365,2,1,2
201701621782,3,2,2
201701623102,3,2,2
201701623394,1,2,2
201701624259,3,2,1
201701627755,3,2,2
201701630536,4,2,2
201701634591,3,2,2
201701637196,1,1,2
201701637841,2,1,2
201701640014,1,2,2
201701642517,1,1,1
201701648829,2,1,2
201701651794,2,1,2
201701652152,3,2,2
201701653417,1,1,2
201701656157,4,1,2
201701657660,2,2,2
201701663692,3,1,2
201701672547,1,1,2
201701679545,4,2,2
201701681844,2,2,2
201701686171,1,2,2
201701686892,2,2,2
201701689652,1,1,2
201701692115,2,1,2
201701698723,2,1,1
201701699356,1,1,2
201701705856,4,1,2
201701721329,1,2,2
201701721989,1,1,2
201701723640,3,1,1
201701724134,3,2,2
201701726155,1,1,2
201701728224,4,2,2
201701730532,2,1,1
201701730768,3,2,2
201701730879,4,2,2
201701733570,3,2,2
201701734606,1,2,2
201801000099,1,2,1
201801000168,2,1,2
201801000202,2,2,2
201801000329,1,2,1
201801002185,1,1,1
201801003561,2,2,1
201801005182,3,1,1
201801005504,1,2,1
201801005767,3,2,2
201801006202,1,2,1
201801006376,2,1,2
201801006537,1,2,1
201801006549,1,2,1
201801007000,2,1,1
201801007364,1,1,2
201801007690,1,2,1
201801007892,4,2,2
201801008026,3,2,2
201801009141,1,2,1
201801009250,3,2,2
201801010520,3,1,1
201801010976,2,2,1
201801011816,1,2,1
201801012666,2,1,2
201801012794,3,2,2
201801013506,3,2,1
201801013841,2,2,1
201801014577,2,1,1
201801015035,2,2,2
201801015624,1,2,1
201801015646,4,2,1
201801015651,3,1,2
201801016074,1,2,2
201801016087,2,1,2
201801016724,1,1,2
201801017037,2,2,1
201801017081,2,2,2
201801017228,2,2,1
201801017742,3,1,2
201801017893,2,2,1
201801018360,3,2,1
201801018370,1,1,1
201801018678,2,2,2
201801019125,3,2,2
201801019873,3,1,2
201801020031,3,2,1
201801020998,4,2,1
201801022552,3,2,2
201801022692,2,2,1
201801023224,3,1,1
201801023660,1,1,2
201801023767,3,1,1
201801023984,4,2,2
201801024427,1,2,1
201801025294,3,1,2
201801025335,4,2,1
201801025548,2,2,1
201801026461,1,1,1
201801026776,2,2,1
201801027652,3,1,2
201801027874,2,2,1
201801027888,3,1,2
201801027957,4,2,1
201801028017,2,2,1
201801028853,3,1,2
201801028869,4,2,2
201801029095,1,2,1
201801029399,1,2,1
201801029858,1,2,1
201801030612,2,1,2
201801030712,2,2,1
201801031465,2,2,1
201801032024,2,1,1
201801032119,3,2,1
201801032779,2,1,1
201801032954,2,2,1
201801033150,2,1,2
201801033524,4,2,2
201801033613,2,2,2
201801033760,2,2,1
201801034187,2,2,2
201801034524,1,2,2
201801035717,2,1,2
201801036208,3,2,2
201801036860,3,2,2
201801037074,2,1,2
201801037243,1,2,2
201801037654,2,2,2
201801037656,3,2,2
201801037838,4,2,2
201801038290,1,2,2
201801039030,3,2,2
201801039349,1,2,2
201801041193,1,2,2
201801041296,3,2,2
201801041529,1,2,2
201801041906,3,2,2
201801043219,3,2,2
201801043481,1,2,2
201801043518,2,1,2
201801043637,3,2,2
201801043678,2,2,2
201801043779,2,2,2
201801043842,2,2,2
201801043915,2,1,2
201801044139,3,2,99
201801044195,2,2,2
201801044413,4,2,2
201801044916,3,2,2
201801045369,2,1,2
201801045415,3,1,2
201801045436,2,2,2
201801045661,2,2,2
201801045718,2,2,2
201801045776,3,2,2
201801045914,3,2,2
201801046519,3,2,99
201801047064,3,2,2
201801047080,3,2,2
201801047406,3,1,2
201801047503,2,2,2
201801047983,2,2,2
201801047992,2,1,1
201801048353,2,2,2
201801048664,1,2,2
201801048693,2,2,2
201801049370,2,2,2
201801049572,2,1,2
201801049901,2,2,2
201801051753,3,2,2
201801051852,2,1,2
201801051895,2,2,2
201801052015,4,2,2
201801052509,1,2,2
201801053609,1,1,2
201801053985,2,1,2
201801054003,3,1,2
201801054593,3,1,2
201801054672,2,1,2
201801054679,4,2,2
201801054731,1,2,2
201801054783,1,1,2
201801054925,2,1,2
201801055440,3,2,2
201801055466,2,2,2
201801055724,4,1,2
201801056477,2,2,2
201801056570,1,2,2
201801056738,3,2,2
201801056858,2,2,2
201801057535,4,1,2
201801057582,3,1,2
201801058156,2,2,2
201801058202,1,1,2
201801058731,4,1,2
201801058984,2,2,2
201801059362,2,2,1
201801059584,2,2,1
201801059722,3,1,2
201801059738,2,2,2
201801059766,4,2,2
201801059817,1,1,2
201801060620,3,1,2
201801060802,1,1,2
201801060810,3,1,2
201801061089,1,1,2
201801061623,3,2,2
201801061714,1,2,2
201801062154,1,2,2
201801062405,2,1,2
201801062596,1,2,2
201801062889,1,1,2
201801062899,1,2,2
201801064899,2,2,2
201801065420,1,2,2
201801065578,2,2,2
201801066118,2,2,2
201801066314,2,1,2
201801066373,3,2,2
201801066449,2,1,2
201801066560,3,2,2
201801066821,3,1,2
201801066860,3,2,2
201801066948,3,1,2
201801067191,3,1,2
201801067366,1,1,2
201801067608,2,2,2
201801067655,3,2,2
201801067788,1,2,2
201801067915,3,1,2
201801068005,1,1,2
201801068153,1,2,2
201801068235,2,2,2
201801068636,1,2,2
201801069434,1,2,1
201801069482,1,2,1
201801069894,2,2,2
201801070194,3,2,2
201801070459,2,2,2
201801070917,1,2,1
201801071437,3,2,2
201801071740,2,2,1
201801071956,3,2,2
201801072043,2,1,2
201801072550,1,2,2
201801072659,1,2,2
201801073107,2,2,2
201801073148,2,2,2
201801073685,3,2,2
201801073727,2,1,2
201801073730,3,2,2
201801073841,3,1,2
201801073865,3,1,2
201801074698,3,2,2
201801074916,2,2,2
201801075011,4,1,2
201801075060,3,2,2
201801075254,3,1,2
201801075435,2,1,2
201801075912,3,2,2
201801075948,3,1,2
201801076059,2,2,2
201801076365,3,1,2
201801076561,1,2,2
201801076563,4,2,2
201801076714,3,2,2
201801077234,2,1,2
201801077278,2,2,2
201801077650,3,1,2
201801078058,4,1,2
201801078151,4,1,2
201801079121,2,1,2
201801079180,2,1,1
201801079968,4,2,2
201801080085,4,1,2
201801080110,4,1,2
201801080146,2,2,2
201801080347,2,1,2
201801080640,4,2,2
201801080871,1,1,2
201801081441,1,1,2
201801081949,3,2,2
201801082007,4,2,2
201801082102,3,1,2
201801082360,3,1,2
201801082397,3,1,1
201801082460,1,2,1
201801082868,3,1,2
201801083766,2,2,2
201801084182,3,2,2
201801084211,4,1,2
201801084308,3,1,99
201801084843,3,2,1
201801084844,1,1,2
201801085439,2,2,2
201801085973,3,2,2
201801086018,4,2,2
201801086555,3,1,2
201801087003,2,2,2
201801087478,3,2,2
201801087528,2,2,2
201801088040,2,2,2
201801088815,3,2,2
201801088897,2,1,2
201801088968,3,2,2
201801089069,3,2,2
201801089245,3,1,2
201801089527,3,2,2
201801089703,4,2,2
201801089841,3,2,2
201801089969,2,2,2
201801090088,4,1,2
201801090389,4,1,2
201801090895,3,2,2
201801091088,3,2,2
201801091180,4,2,2
201801091308,3,2,2
201801091662,4,1,2
201801091688,3,1,2
201801091715,2,2,2
201801092510,2,1,2
201801092650,3,2,2
201801093018,3,2,2
201801093257,2,1,2
201801093365,2,1,1
201801093397,2,1,2
201801093622,3,1,2
201801093721,3,2,1
201801093790,3,1,2
201801094557,2,2,2
201801094633,3,2,2
201801094645,4,1,2
201801095194,4,2,2
201801095881,3,1,2
201801096274,4,1,2
201801096498,2,2,2
201801096942,2,2,2
201801097410,3,2,2
201801097960,2,2,2
201801098142,3,1,2
201801098431,2,1,2
201801098759,2,2,2
201801099079,3,2,2
201801099086,2,1,2
201801099200,2,2,2
201801099503,1,2,2
201801099537,2,2,2
201801099726,4,1,2
201801100013,1,2,2
201801100122,3,1,2
201801100421,4,2,2
201801100561,1,1,2
201801100674,3,2,2
201801100828,4,2,2
201801100867,1,2,2
201801100924,4,1,2
201801101026,2,2,2
201801101268,2,1,2
201801101272,1,2,2
201801102119,1,2,2
201801102280,2,1,2
201801102358,4,2,2
201801102512,4,1,2
201801102526,2,1,2
201801102597,3,2,2
201801102991,3,2,2
201801103266,2,2,2
201801103705,2,1,1
201801103929,1,2,2
201801104013,1,1,2
201801104167,3,2,2
201801104363,2,2,2
201801104411,3,1,2
201801105246,4,2,2
201801105288,3,1,2
201801105672,2,2,2
201801105926,1,2,2
201801106115,4,2,2
201801106365,2,2,2
201801106550,2,1,2
201801106657,4,2,2
201801106955,2,2,2
201801108141,4,2,2
201801108212,2,1,2
201801108582,3,2,2
201801108823,3,1,2
201801108920,3,1,2
201801109691,2,2,2
201801109869,3,2,2
201801109882,2,2,2
201801109922,4,2,2
201801110190,4,2,2
201801110451,3,2,2
201801110512,3,1,2
201801110681,2,2,2
201801110817,4,2,2
201801110935,2,2,2
